"all_flights","on_time_ct","arr_flights","year_month","carrier"
58749,0.808745680777545,47513,"2014-11","SkyWest Airlines Inc."
65576,0.75327863852629,49397,"2014-12","SkyWest Airlines Inc."
60926,0.789695696418606,48113,"2015-01","SkyWest Airlines Inc."
55407,0.793924955330554,43989,"2015-02","SkyWest Airlines Inc."
58846,0.851000917649458,50078,"2015-03","SkyWest Airlines Inc."
57653,0.855618961719251,49329,"2015-04","SkyWest Airlines Inc."
58794,0.848113753104058,49864,"2015-05","SkyWest Airlines Inc."
61743,0.814780622904621,50307,"2015-06","SkyWest Airlines Inc."
63825,0.824551508029769,52627,"2015-07","SkyWest Airlines Inc."
63393,0.83179530863029,52730,"2015-08","SkyWest Airlines Inc."
54613,0.872045117462875,47625,"2015-09","SkyWest Airlines Inc."
55774,0.875103094631907,48808,"2015-10","SkyWest Airlines Inc."
61514,0.838329485970673,51569,"2014-11","ExpressJet Airlines Inc."
64663,0.80658181649475,52156,"2014-12","ExpressJet Airlines Inc."
62757,0.795528785633475,49925,"2015-01","ExpressJet Airlines Inc."
58813,0.767483379524935,45138,"2015-02","ExpressJet Airlines Inc."
67097,0.807636705068781,54190,"2015-03","ExpressJet Airlines Inc."
59059,0.834690732995818,49296,"2015-04","ExpressJet Airlines Inc."
60216,0.817274478543909,49213,"2015-05","ExpressJet Airlines Inc."
63588,0.772457067371202,49119,"2015-06","ExpressJet Airlines Inc."
61093,0.824660763098882,50381,"2015-07","ExpressJet Airlines Inc."
57884,0.8388155621588,48554,"2015-08","ExpressJet Airlines Inc."
49935,0.875558225693401,43721,"2015-09","ExpressJet Airlines Inc."
53032,0.862271835872681,45728,"2015-10","ExpressJet Airlines Inc."
51794,0.821349963316214,42541,"2014-11","American Airlines Inc."
57498,0.789418762391735,45390,"2014-12","American Airlines Inc."
54573,0.807340626317043,44059,"2015-01","American Airlines Inc."
50415,0.790141822870178,39835,"2015-02","American Airlines Inc."
57257,0.80280140419512,45966,"2015-03","American Airlines Inc."
54095,0.827618079304926,44770,"2015-04","American Airlines Inc."
54426,0.821482379744975,44710,"2015-05","American Airlines Inc."
54913,0.807823284103946,44360,"2015-06","American Airlines Inc."
97698,0.833527810190587,81434,"2015-07","American Airlines Inc."
95236,0.837372422193288,79748,"2015-08","American Airlines Inc."
83944,0.874142285333079,73379,"2015-09","American Airlines Inc."
88378,0.874538912399013,77290,"2015-10","American Airlines Inc."
113777,0.84048621426123,95628,"2014-11","Southwest Airlines Co."
129622,0.77824751971116,100878,"2014-12","Southwest Airlines Co."
120957,0.827087312019974,100042,"2015-01","Southwest Airlines Co."
110424,0.816597841049047,90172,"2015-02","Southwest Airlines Co."
131049,0.833619485841174,109245,"2015-03","Southwest Airlines Co."
125793,0.845889675896115,106407,"2015-04","Southwest Airlines Co."
130782,0.823523114801731,107702,"2015-05","Southwest Airlines Co."
139920,0.784562607204117,109776,"2015-06","Southwest Airlines Co."
143725,0.790746216733345,113650,"2015-07","Southwest Airlines Co."
130373,0.829765365528139,108179,"2015-08","Southwest Airlines Co."
112953,0.891034324010872,100645,"2015-09","Southwest Airlines Co."
117437,0.889975050452583,104516,"2015-10","Southwest Airlines Co."
75997,0.881547955840362,66995,"2014-11","Delta Air Lines Inc."
73875,0.900467005076142,66522,"2014-12","Delta Air Lines Inc."
73352,0.878244628639983,64421,"2015-01","Delta Air Lines Inc."
74284,0.819611221797426,60884,"2015-02","Delta Air Lines Inc."
86056,0.861834154504044,74166,"2015-03","Delta Air Lines Inc."
81663,0.883753964463711,72170,"2015-04","Delta Air Lines Inc."
84423,0.886192151427928,74815,"2015-05","Delta Air Lines Inc."
91045,0.848536438025152,77255,"2015-06","Delta Air Lines Inc."
93466,0.863854235764877,80741,"2015-07","Delta Air Lines Inc."
92711,0.87311106556935,80947,"2015-08","Delta Air Lines Inc."
78888,0.913484940675388,72063,"2015-09","Delta Air Lines Inc."
81527,0.926711396224564,75552,"2015-10","Delta Air Lines Inc."
